"Year","Date","Gasoline","Electricity","Gas","Total"
1929,1929-01-01,4.39276485788114,0.775193798449612,0.775193798449612,5.94315245478036
1930,1930-01-01,4.70756062767475,0.998573466476462,0.855920114122682,6.56205420827389
1931,1931-01-01,4.61285008237232,1.15321252059308,0.988467874794069,6.75453047775947
1932,1932-01-01,5.3388090349076,1.43737166324435,1.02669404517454,7.80287474332649
1933,1933-01-01,5.66448801742919,1.30718954248366,1.08932461873638,8.06100217864924
1934,1934-01-01,5.63106796116505,1.35922330097087,0.970873786407767,7.96116504854369
1935,1935-01-01,5.36672629695886,1.25223613595707,0.894454382826476,7.5134168157424
1936,1936-01-01,5.30546623794212,1.12540192926045,0.803858520900322,7.23472668810289
1937,1937-01-01,5.23952095808383,1.19760479041916,0.748502994011976,7.18562874251497
1938,1938-01-01,5.28771384136858,1.24416796267496,0.777604976671851,7.3094867807154
1939,1939-01-01,5.35714285714286,1.19047619047619,0.892857142857143,7.44047619047619
1940,1940-01-01,5.32959326788219,1.26227208976157,0.841514726507714,7.43338008415147
1941,1941-01-01,5.30209617755857,1.23304562268804,0.739827373612824,7.27496917385943
1942,1942-01-01,4.38202247191011,1.12359550561798,0.674157303370786,6.17977528089888
1943,1943-01-01,3.3033033033033,1.001001001001,0.700700700700701,5.00500500500501
1944,1944-01-01,3.13075506445672,1.01289134438306,0.644567219152855,4.78821362799263
1945,1945-01-01,3.33333333333333,1,0.583333333333333,4.91666666666667
1946,1946-01-01,4.01940401940402,0.900900900900901,0.554400554400554,5.47470547470547
1947,1947-01-01,4.25925925925926,0.925925925925926,0.555555555555556,5.74074074074074
1948,1948-01-01,4.68571428571429,0.971428571428571,0.571428571428571,6.22857142857143
1949,1949-01-01,4.64985994397759,1.06442577030812,0.61624649859944,6.33053221288515
1950,1950-01-01,4.63059313215401,1.09261186264308,0.624349635796046,6.34755463059313
1951,1951-01-01,4.60431654676259,1.15107913669065,0.671462829736211,6.42685851318945
1952,1952-01-01,4.64692482915718,1.23006833712984,0.683371298405467,6.56036446469248
1953,1953-01-01,4.63519313304721,1.24463519313305,0.686695278969957,6.56652360515021
1954,1954-01-01,4.7102959566486,1.33388912046686,0.750312630262609,6.79449770737808
1955,1955-01-01,4.79319675299575,1.35291843834557,0.811751063007344,6.95786625434867
1956,1956-01-01,4.89690721649485,1.39911634756996,0.846833578792342,7.14285714285714
1957,1957-01-01,4.95291245204046,1.43006627136379,0.837111963725148,7.2200906871294
1958,1958-01-01,4.96621621621622,1.48648648648649,0.912162162162162,7.36486486486486
1959,1959-01-01,4.81889763779528,1.48031496062992,0.94488188976378,7.24409448818898
1960,1960-01-01,4.76477683956574,1.53799758745476,0.995174909529554,7.29794933655006
1961,1961-01-01,4.5906432748538,1.54970760233918,1.0233918128655,7.16374269005848
1962,1962-01-01,4.48912145414486,1.5698154778298,1.04654365188653,7.10548058386119
1963,1963-01-01,4.41830065359477,1.56862745098039,1.04575163398693,7.03267973856209
1964,1964-01-01,4.30447470817121,1.53210116731517,1.02140077821012,6.8579766536965
1965,1965-01-01,4.30568079350766,1.487826871055,0.969341749323715,6.76284941388638
1966,1966-01-01,4.30711610486891,1.45651269246775,0.936329588014981,6.69995838535164
1967,1967-01-01,4.31612140323216,1.47812376823019,0.926290894757588,6.72053606621995
1968,1968-01-01,4.16218155723,1.45317545748116,0.87908144958737,6.49443846429853
1969,1969-01-01,4.13564929693962,1.45574855252275,0.860215053763441,6.45161290322581
1970,1970-01-01,4.06052184653389,1.48216767021769,0.864597807626988,6.40728732437857
1971,1971-01-01,3.93723252496434,1.51212553495007,0.87018544935806,6.31954350927247
1972,1972-01-01,3.82115934494411,1.53366259422927,0.857811281518066,6.21263322069145
1973,1973-01-01,4.03007872165433,1.5626835859476,0.798966043943132,6.39172835154506
1974,1974-01-01,4.69957081545064,1.7274678111588,0.804721030042918,7.23175965665236
1975,1975-01-01,4.64756003098373,1.87838884585593,0.900464756003098,7.42641363284276
1976,1976-01-01,4.60789427925578,1.87793427230047,0.956355416449313,7.44218396800556
1977,1977-01-01,4.52729693741678,1.97383880316441,0.986919401582204,7.48805514216339
1978,1978-01-01,4.31215818258309,1.96325900995653,0.99565278362081,7.27106997616043
1979,1979-01-01,5.05819440075495,1.93142497640768,1.01918842403271,8.00880780119535
1980,1980-01-01,5.80759147384019,2.12014134275618,1.09996580417189,9.02769862076827
1981,1981-01-01,5.85290322580645,2.19354838709677,1.0941935483871,9.14064516129032
1982,1982-01-01,5.22686725493032,2.26626163267274,1.24403298133951,8.73716186894257
1983,1983-01-01,4.65777389022523,2.25672425103871,1.28143450688826,8.1959326481522
1984,1984-01-01,4.33111840525178,2.21359378752702,1.18485309422784,7.72956528700665
1985,1985-01-01,4.05847137033092,2.17798508833144,1.09450178132001,7.33095823998237
1986,1986-01-01,3.14656362130831,2.09080872205355,0.924648081700248,6.1620204250621
1987,1987-01-01,3.11762232786779,2.04715242068497,0.831150350894214,5.99592509944698
1988,1988-01-01,2.98485165376916,1.9958767814993,0.818668021153904,5.79939645642236
1989,1989-01-01,3.07281229124916,1.93999109329771,0.81273658427967,5.82553996882654
1990,1990-01-01,3.2465495608532,1.87682977833542,0.705771643663739,5.82915098285236
1991,1991-01-01,3.05792636735518,1.93424574516439,0.714610373213474,5.70678248573304
1992,1992-01-01,2.96510662523424,1.82176151054392,0.702137248855469,5.48900538463363
1993,1993-01-01,2.83829121002013,1.84969805412659,0.722433460076046,5.41042272422277
1994,1994-01-01,2.72516346762286,1.78232440413415,0.687618645855305,5.19510651761232
1995,1995-01-01,2.67645760603507,1.75755387022993,0.615946390594278,5.04995786685928
1996,1996-01-01,2.74672082914144,1.71788690419696,0.654885062925913,5.11949279626431
1997,1997-01-01,2.65614041397666,1.6310896110202,0.645602172388368,4.93283219738522
1998,1998-01-01,2.24292732508894,1.58224631543283,0.537015077079451,4.36218871760122
1999,1999-01-01,2.32281591882036,1.4840653242429,0.51054384017758,4.31742508324084
2000,2000-01-01,2.71627112655321,1.44867793416171,0.578587833460927,4.74353689417584
2001,2001-01-01,2.50594810716448,1.45570243977981,0.650420239050555,4.61207078599485
2002,2002-01-01,2.27380452594087,1.45041372679135,0.521390555382511,4.24560880811473
2003,2003-01-01,2.52913527783143,1.43583800141652,0.629708325284914,4.59468160453287
2004,2004-01-01,2.81719128329298,1.40193704600484,0.63317191283293,4.85230024213075
2005,2005-01-01,3.22716366654916,1.46120694556578,0.697058254966398,5.38542886708134
2006,2006-01-01,3.43615649183147,1.51225279449699,0.645958727429063,5.59436801375752
2007,2007-01-01,3.54340803035742,1.52094764371058,0.634839239013384,5.69919491308138
2008,2008-01-01,3.88571542701925,1.55188943037469,0.680075097866901,6.11767995526085
2009,2009-01-01,2.88920483395958,1.59439423174571,0.590027419518635,5.07362648522393
2010,2010-01-01,3.26792260492835,1.6349414832095,0.535178686949873,5.43804277508773
2011,2011-01-01,3.83186925243,1.55950342866231,0.487403291141609,5.87877597223392
2012,2012-01-01,3.77264582918575,1.4777478145983,0.40088320996145,5.6512768537455
2013,2013-01-01,3.62813787275992,1.48839911276978,0.445375488504735,5.56191247403443
2014,2014-01-01,3.36244247011818,1.48524031896421,0.471197127299088,5.31887991638148
2015,2015-01-01,2.47238209985591,1.44419026840447,0.390761741169192,4.30733410942957
